Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
2							1		2		3							5			2					35	1		5		8						7	6						1					46								1	6			41	1					1				2	2			1										1				1			1			19	1		246	1	1	2										51		12			1		1		5		27					1	8										1				4	1	3				11				2	3										1			1		2									
4	2			2	2		3										2	1			4					38	3		2		5				2		20	12						1		2			56			2	1			1	5				29									4	3												1		1	1	1	1							14		1	95	1	1				1	1						40		17						1	4		25						2	1									5						1				24				16	6										1		2												
									1		12						1	17			5	1		2		5	7		3		11						8	3	2					1	2	1			71		2		3	1			1		1		10													9		1							1		1			3							12	2	3	59	3	2			1		3						41		43					1		7		57		1				2									1											8				5	2							1	2			5		1											1
8							1		2		54							24			3					12	10		4		12				2		1	5						2		2			22								4				10						2				1			2											1			7							4	2	5	65	2	1	1				4						34		31					3		2		71					1	1										3										5				4																									
1							2		1		41							14			9					7	5				2						9	3	1										31							2	1		1		12						1				1				1											1	1			1					2		11	38		1											26		24	1		2				6		16				1									1			3				2						1					1													1											
18					2			2	1	1	28							24			5	2				5	5		20		2				1		1	2	1					1			1		34		1					1		1							1									2	1								1		1		2	1							2		7	20													41		42			3				12		83					1										1	5	1					1				8				11	1	1	1								2		2												
3	1						4		3		2							11			2					5	4		14		8				2		25	2	2				1	1					65				1			1	1				13				3		2			1				1	1	1							1				1	4							4		7	15		1	1				3						51		59			3		3		3		66																4				1						4				2										1		2		1										1	
3							1		4		2							17			17					4	6			1	1						2	1			1								15												9														1									2		1									6		2	14													29		49					2	1	12		63				2												2										3																													
2					1		1		3		1						1	2								19	8		6		3	1						5								2			20									1			6						1				1			1		1							4		1			1							12		3	27	2				1								68		89							7		82						7														1			1			10				4																									
	4								4									10			3					16	7		13	1	12				1		8	4	1				1	1	1				36				3								19								1	3					1												1	1							17		5	45		1					2						50		92			1				6		54						3									1	6										13				20											2		1												
1	7				1		1		2		2							2			6					76	9		7		15				1		30	11							1				39												59				4																						5								15		12	234			1				3						17		31	1		1				7		42						5										9				1						15				9											1		2												
					3			1	2									1			9					63	12				14						5	13											117								1				70										9																3		1						14		3	154							1	1					33		15					2		2		27		1		3												2										2					1										1														
					2		5		1									2			4	2				41	4		5		2				4			5	2					4	1				59										1		30				3							1													2		1		1						11	1	1	455	1						3						35		32					3		7	1	21						15										3						1				10																	1			1									
1					4		1											1			3	2				52	6		4		4				6		6	13						3	2				78											2	20				2		1			2	4	1													4			1							8	2	2	350	1					1							21		27					1		3		17						9										2										9				1	2																								
5	8				1		4						2					7			5				1	45	5		2		13				7		18	19						1		1			29				1				2		1		78	1					1			6				5	2										2		3	2							13	1	2	738			3		2	4							48		21							4		32	2					4	1					1				17										12				14	3												1												
					3		2	1	2								1	1			3	1			1	60	4				3				4		2	10	3						1				45											2	33	2			3							1													3		3			1					7	2		769	1						1						9		11							1		17						16										4						1				7					5															1									
					2		2											2			2	2			1	72	5		2		4				9		2	17	2					1					66											2	38				3		2															1			3		3	1							6	2	1	916	1	1					2						31		11					1		1	1	23						25					1					1						1				5					4		1													2									
